util_mean,ranker,source,group,subgroup,theta,hfunc,augmentation,val_metric,feature_method,num_features,balancing_factor,ranker_config
0.2825944723500683,ac,lm_mrfr_err_aug0.5_mpt_10_0.5,doc,,99,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.5_doc_99_linear
0.2825944723500683,ac,lm_mrfr_err_aug0.5_mpt_10_0.5,doc,,99,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.5_doc_99_max
0.2888495169313442,ac,lm_mrfr_err_aug0.5_mpt_10_0.5,doc,,99,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.5_doc_99_min
0.2568952256389482,ac,lm_mrfr_err_aug0.5_mpt_10_0.5,doc,,9,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.5_doc_9_linear
0.2557244394523167,ac,lm_mrfr_err_aug0.5_mpt_10_0.5,doc,,9,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.5_doc_9_max
0.2658252442335398,ac,lm_mrfr_err_aug0.5_mpt_10_0.5,doc,,9,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.5_doc_9_min
0.27946054408656473,ac,lm_mrfr_err_aug0.5_mpt_10_0.9,author,ind,99,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.9_author_ind_99_linear
0.27946054408656473,ac,lm_mrfr_err_aug0.5_mpt_10_0.9,author,ind,99,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.9_author_ind_99_max
0.2957254348463057,ac,lm_mrfr_err_aug0.5_mpt_10_0.9,author,ind,99,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.9_author_ind_99_min
0.2564596933637741,ac,lm_mrfr_err_aug0.5_mpt_10_0.9,author,ind,9,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.9_author_ind_9_linear
0.25478050341924385,ac,lm_mrfr_err_aug0.5_mpt_10_0.9,author,ind,9,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.9_author_ind_9_max
0.2580254517152079,ac,lm_mrfr_err_aug0.5_mpt_10_0.9,author,ind,9,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.9_author_ind_9_min
0.27960723328778153,ac,lm_mrfr_err_aug0.5_mpt_10_0.9,author,none,99,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.9_author_none_99_linear
0.27960723328778153,ac,lm_mrfr_err_aug0.5_mpt_10_0.9,author,none,99,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.9_author_none_99_max
0.28881744126777076,ac,lm_mrfr_err_aug0.5_mpt_10_0.9,author,none,99,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.9_author_none_99_min
0.2569127441728837,ac,lm_mrfr_err_aug0.5_mpt_10_0.9,author,none,9,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.9_author_none_9_linear
0.2574961714794316,ac,lm_mrfr_err_aug0.5_mpt_10_0.9,author,none,9,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.9_author_none_9_max
0.25213606078587103,ac,lm_mrfr_err_aug0.5_mpt_10_0.9,author,none,9,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.9_author_none_9_min
0.27904541843043684,ac,lm_mrfr_err_aug0.5_mpt_10_0.9,author,one,99,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.9_author_one_99_linear
0.27904541843043684,ac,lm_mrfr_err_aug0.5_mpt_10_0.9,author,one,99,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.9_author_one_99_max
0.29629768506991805,ac,lm_mrfr_err_aug0.5_mpt_10_0.9,author,one,99,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.9_author_one_99_min
0.2568354089823419,ac,lm_mrfr_err_aug0.5_mpt_10_0.9,author,one,9,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.9_author_one_9_linear
0.25516382971489493,ac,lm_mrfr_err_aug0.5_mpt_10_0.9,author,one,9,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.9_author_one_9_max
0.25845319158214336,ac,lm_mrfr_err_aug0.5_mpt_10_0.9,author,one,9,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.9_author_one_9_min
0.2800312030775382,ac,lm_mrfr_err_aug0.5_mpt_10_0.9,doc,,99,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.9_doc_99_linear
0.2800312030775382,ac,lm_mrfr_err_aug0.5_mpt_10_0.9,doc,,99,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.9_doc_99_max
0.28993544139452887,ac,lm_mrfr_err_aug0.5_mpt_10_0.9,doc,,99,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.9_doc_99_min
0.2554968299287841,ac,lm_mrfr_err_aug0.5_mpt_10_0.9,doc,,9,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.9_doc_9_linear
0.2547618099888441,ac,lm_mrfr_err_aug0.5_mpt_10_0.9,doc,,9,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.9_doc_9_max
0.2609163932228321,ac,lm_mrfr_err_aug0.5_mpt_10_0.9,doc,,9,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.9_doc_9_min
0.2822206437003432,ac,lm_mrfr_err_aug0.5_mpt_15_0.1,author,ind,99,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.1_author_ind_99_linear
0.2822206437003432,ac,lm_mrfr_err_aug0.5_mpt_15_0.1,author,ind,99,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.1_author_ind_99_max
0.2873287205069193,ac,lm_mrfr_err_aug0.5_mpt_15_0.1,author,ind,99,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.1_author_ind_99_min
0.2516640749698721,ac,lm_mrfr_err_aug0.5_mpt_15_0.1,author,ind,9,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.1_author_ind_9_linear
0.2501940628565995,ac,lm_mrfr_err_aug0.5_mpt_15_0.1,author,ind,9,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.1_author_ind_9_max
0.25366337537398,ac,lm_mrfr_err_aug0.5_mpt_15_0.1,author,ind,9,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.1_author_ind_9_min
0.27881377018462256,ac,lm_mrfr_err_aug0.5_mpt_15_0.1,author,none,99,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.1_author_none_99_linear
0.27881377018462256,ac,lm_mrfr_err_aug0.5_mpt_15_0.1,author,none,99,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.1_author_none_99_max
0.28849216004092526,ac,lm_mrfr_err_aug0.5_mpt_15_0.1,author,none,99,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.1_author_none_99_min
0.24873807703988762,ac,lm_mrfr_err_aug0.5_mpt_15_0.1,author,none,9,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.1_author_none_9_linear
0.24781401253556196,ac,lm_mrfr_err_aug0.5_mpt_15_0.1,author,none,9,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.1_author_none_9_max
0.24965448476284835,ac,lm_mrfr_err_aug0.5_mpt_15_0.1,author,none,9,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.1_author_none_9_min
