diff_mean,disp_mean,rel_mean,ranker,source,group,subgroup,theta,hfunc,augmentation,val_metric,feature_method,num_features,balancing_factor,ranker_config
0.39349985,1.54417475,1.1219358,ac,lm_mrfr_err_aug0.5_mpt_10_0.9,doc,,99,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.9_doc_99_linear
0.39349985,1.54417475,1.1219358,ac,lm_mrfr_err_aug0.5_mpt_10_0.9,doc,,99,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.9_doc_99_max
0.4390004,1.5263356,1.0902662,ac,lm_mrfr_err_aug0.5_mpt_10_0.9,doc,,99,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.9_doc_99_min
0.41679105,1.55557075,1.1159884,ac,lm_mrfr_err_aug0.5_mpt_10_0.9,doc,,9,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.9_doc_9_linear
0.41780455,1.567187,1.12128975,ac,lm_mrfr_err_aug0.5_mpt_10_0.9,doc,,9,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.9_doc_9_max
0.41800815,1.57651315,1.12585095,ac,lm_mrfr_err_aug0.5_mpt_10_0.9,doc,,9,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.9_doc_9_min
0.3925481,1.5107694,1.1057092,ac,lm_mrfr_err_aug0.5_mpt_15_0.1,author,ind,99,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.1_author_ind_99_linear
0.3925481,1.5107694,1.1057092,ac,lm_mrfr_err_aug0.5_mpt_15_0.1,author,ind,99,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.1_author_ind_99_max
0.43798225,1.51365835,1.0844366,ac,lm_mrfr_err_aug0.5_mpt_15_0.1,author,ind,99,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.1_author_ind_99_min
0.42589195,1.5486929,1.1079988,ac,lm_mrfr_err_aug0.5_mpt_15_0.1,author,ind,9,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.1_author_ind_9_linear
0.4284035,1.5591776,1.11198545,ac,lm_mrfr_err_aug0.5_mpt_15_0.1,author,ind,9,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.1_author_ind_9_max
0.4155107,1.558503,1.1180947,ac,lm_mrfr_err_aug0.5_mpt_15_0.1,author,ind,9,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.1_author_ind_9_min
0.40423275,1.5442352,1.11659975,ac,lm_mrfr_err_aug0.5_mpt_15_0.1,author,none,99,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.1_author_none_99_linear
0.40423275,1.5442352,1.11659975,ac,lm_mrfr_err_aug0.5_mpt_15_0.1,author,none,99,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.1_author_none_99_max
0.46925475,1.5594274,1.09168485,ac,lm_mrfr_err_aug0.5_mpt_15_0.1,author,none,99,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.1_author_none_99_min
0.44586055,1.58839335,1.11786475,ac,lm_mrfr_err_aug0.5_mpt_15_0.1,author,none,9,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.1_author_none_9_linear
0.4454886,1.59317405,1.12044115,ac,lm_mrfr_err_aug0.5_mpt_15_0.1,author,none,9,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.1_author_none_9_max
0.5592635,1.7029003,1.1184169,ac,lm_mrfr_err_aug0.5_mpt_15_0.1,author,none,9,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.1_author_none_9_min
0.39687835,1.51303505,1.10467685,ac,lm_mrfr_err_aug0.5_mpt_15_0.1,author,one,99,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.1_author_one_99_linear
0.39687835,1.51303505,1.10467685,ac,lm_mrfr_err_aug0.5_mpt_15_0.1,author,one,99,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.1_author_one_99_max
0.43421115,1.5112626,1.08512425,ac,lm_mrfr_err_aug0.5_mpt_15_0.1,author,one,99,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.1_author_one_99_min
0.4265526,1.5520068,1.10932545,ac,lm_mrfr_err_aug0.5_mpt_15_0.1,author,one,9,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.1_author_one_9_linear
0.4294557,1.5645156,1.11412835,ac,lm_mrfr_err_aug0.5_mpt_15_0.1,author,one,9,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.1_author_one_9_max
0.41641735,1.558844,1.1178119,ac,lm_mrfr_err_aug0.5_mpt_15_0.1,author,one,9,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.1_author_one_9_min
0.3894734,1.5153903,1.10955685,ac,lm_mrfr_err_aug0.5_mpt_15_0.1,doc,,99,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.1_doc_99_linear
0.3894734,1.5153903,1.10955685,ac,lm_mrfr_err_aug0.5_mpt_15_0.1,doc,,99,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.1_doc_99_max
0.451663,1.539619,1.0905766,ac,lm_mrfr_err_aug0.5_mpt_15_0.1,doc,,99,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.1_doc_99_min
0.42258665,1.5571919,1.1139011,ac,lm_mrfr_err_aug0.5_mpt_15_0.1,doc,,9,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.1_doc_9_linear
0.42507565,1.5657524,1.11693695,ac,lm_mrfr_err_aug0.5_mpt_15_0.1,doc,,9,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.1_doc_9_max
0.41432465,1.5616109,1.12024165,ac,lm_mrfr_err_aug0.5_mpt_15_0.1,doc,,9,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.1_doc_9_min
0.38041,1.52760935,1.1201982,ac,lm_mrfr_err_aug0.5_mpt_15_0.5,author,ind,99,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.5_author_ind_99_linear
0.38041,1.52760935,1.1201982,ac,lm_mrfr_err_aug0.5_mpt_15_0.5,author,ind,99,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.5_author_ind_99_max
0.4058421,1.5041742,1.0957645,ac,lm_mrfr_err_aug0.5_mpt_15_0.5,author,ind,99,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.5_author_ind_99_min
0.40316525,1.54097105,1.11550145,ac,lm_mrfr_err_aug0.5_mpt_15_0.5,author,ind,9,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.5_author_ind_9_linear
0.40452195,1.5541651,1.1214201,ac,lm_mrfr_err_aug0.5_mpt_15_0.5,author,ind,9,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.5_author_ind_9_max
0.41432035,1.5648294,1.121853,ac,lm_mrfr_err_aug0.5_mpt_15_0.5,author,ind,9,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.5_author_ind_9_min
0.38090365,1.5280088,1.12015105,ac,lm_mrfr_err_aug0.5_mpt_15_0.5,author,none,99,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.5_author_none_99_linear
0.38090365,1.5280088,1.12015105,ac,lm_mrfr_err_aug0.5_mpt_15_0.5,author,none,99,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.5_author_none_99_max
0.4787821,1.58069135,1.09755315,ac,lm_mrfr_err_aug0.5_mpt_15_0.5,author,none,99,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.5_author_none_99_min
