diff_mean,disp_mean,rel_mean,ranker,source,group,subgroup,theta,hfunc,augmentation,val_metric,feature_method,num_features,balancing_factor,ranker_config
0.4698328,0.2749962,0.18025425,ac,lm_mrfr_err_aug0.5_mpt_10_0.9,author,none,99,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.9_author_none_99_linear
0.4698328,0.2749962,0.18025425,ac,lm_mrfr_err_aug0.5_mpt_10_0.9,author,none,99,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.9_author_none_99_max
0.5529122,0.34712275,0.1747777,ac,lm_mrfr_err_aug0.5_mpt_10_0.9,author,none,99,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.9_author_none_99_min
0.45755549999999995,0.21988345000000004,0.1588364,ac,lm_mrfr_err_aug0.5_mpt_10_0.9,author,none,9,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.9_author_none_9_linear
0.4613465,0.22556349999999997,0.1597809,ac,lm_mrfr_err_aug0.5_mpt_10_0.9,author,none,9,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.9_author_none_9_max
0.61493475,0.35865885,0.14953445,ac,lm_mrfr_err_aug0.5_mpt_10_0.9,author,none,9,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.9_author_none_9_min
0.4697178,0.2739572,0.17979225000000001,ac,lm_mrfr_err_aug0.5_mpt_10_0.9,author,one,99,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.9_author_one_99_linear
0.4697178,0.2739572,0.17979225000000001,ac,lm_mrfr_err_aug0.5_mpt_10_0.9,author,one,99,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.9_author_one_99_max
0.4646343,0.27211675,0.1814136,ac,lm_mrfr_err_aug0.5_mpt_10_0.9,author,one,99,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.9_author_one_99_min
0.4536259,0.21938365,0.16055139999999998,ac,lm_mrfr_err_aug0.5_mpt_10_0.9,author,one,9,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.9_author_one_9_linear
0.46070649999999996,0.22416765,0.1594031,ac,lm_mrfr_err_aug0.5_mpt_10_0.9,author,one,9,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.9_author_one_9_max
0.459329,0.22402105,0.16001834999999998,ac,lm_mrfr_err_aug0.5_mpt_10_0.9,author,one,9,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.9_author_one_9_min
0.46530625,0.27101824999999996,0.18052845,ac,lm_mrfr_err_aug0.5_mpt_10_0.9,doc,,99,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.9_doc_99_linear
0.46530625,0.27101824999999996,0.18052845,ac,lm_mrfr_err_aug0.5_mpt_10_0.9,doc,,99,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.9_doc_99_max
0.47456875,0.26928015,0.17502815,ac,lm_mrfr_err_aug0.5_mpt_10_0.9,doc,,99,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.9_doc_99_min
0.4513047,0.21626735,0.16015375,ac,lm_mrfr_err_aug0.5_mpt_10_0.9,doc,,9,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.9_doc_9_linear
0.45517624999999995,0.2189285,0.15954865000000001,ac,lm_mrfr_err_aug0.5_mpt_10_0.9,doc,,9,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.9_doc_9_max
0.45534670000000005,0.22008514999999998,0.16004159999999998,ac,lm_mrfr_err_aug0.5_mpt_10_0.9,doc,,9,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.9_doc_9_min
0.47418885,0.27114754999999996,0.1761517,ac,lm_mrfr_err_aug0.5_mpt_15_0.1,author,ind,99,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.1_author_ind_99_linear
0.47418885,0.27114754999999996,0.1761517,ac,lm_mrfr_err_aug0.5_mpt_15_0.1,author,ind,99,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.1_author_ind_99_max
0.48311435,0.26848679999999997,0.17035875000000003,ac,lm_mrfr_err_aug0.5_mpt_15_0.1,author,ind,99,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.1_author_ind_99_min
0.46420639999999996,0.21567335000000004,0.15340595,ac,lm_mrfr_err_aug0.5_mpt_15_0.1,author,ind,9,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.1_author_ind_9_linear
0.4677286499999999,0.2168011,0.15220875,ac,lm_mrfr_err_aug0.5_mpt_15_0.1,author,ind,9,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.1_author_ind_9_max
