augmentation,feature_method,num_features,balancing_factor,val_metric,difference,disparity,relevance,difference_ind,disparity_ind,relevance_ind,util,qid,fm_yes_no
aug0.5,mpt,20,0.1,err,0.7810347,2.0173096999999998,1.16473595,1.4199008,1.261337,0.1983906,0.30345784296291284,39200.95,1.0
aug0.5,mpt,20,0.1,ndcg,0.8136143499999999,1.83233885,1.05596095,1.29695655,1.2347155,0.2465519,0.3638837839564344,39200.95,1.0
aug0.5,mpt,20,0.5,err,0.99939945,2.21043555,1.1521165500000001,1.4967423,1.26701065,0.16280665,0.2697789733191764,39200.95,1.0
aug0.5,mpt,20,0.5,ndcg,0.85961315,1.7993507499999999,1.0164673,1.32912965,1.2481406,0.23717785,0.33586430600183304,39200.95,1.0
aug0.5,mpt,20,0.9,err,0.99939945,2.21043555,1.1521165500000001,1.4967423,1.26701065,0.16280665,0.2697789733191764,39200.95,1.0
aug0.5,mpt,20,0.9,ndcg,0.85961315,1.7993507499999999,1.0164673,1.32912965,1.2481406,0.23717785,0.33586430600183304,39200.95,1.0
aug0.5,msd,10,0.1,err,0.9666565500000001,2.4701553499999997,1.2983479,1.5490572,1.27577605,0.14103185000000001,0.21752086244273827,39200.95,1.0
aug0.5,msd,10,0.1,ndcg,0.8925156,2.34366185,1.27217165,1.5058458,1.270326,0.15991245,0.23357214904443951,39200.95,1.0
aug0.5,msd,10,0.5,err,0.80039845,2.1993574,1.2460780999999999,1.58689325,1.2844922,0.1264721,0.21058135052082788,39200.95,1.0
aug0.5,msd,10,0.5,ndcg,0.81835215,2.08094095,1.17789285,1.4838616,1.26291125,0.16719725,0.2937877637382244,39200.95,1.0
aug0.5,msd,10,0.9,err,0.93750405,2.1340235,1.14485805,1.45967925,1.27023125,0.18294839999999998,0.2830842717241517,39200.95,1.0
aug0.5,msd,10,0.9,ndcg,1.1233549,2.1369647,1.0534032999999998,1.4079934,1.2511687999999999,0.19926025,0.3213883186483164,39200.95,1.0
aug0.5,msd,15,0.1,err,0.9329077,2.3741002,1.2671948,1.5402523000000001,1.27640125,0.14574695,0.2341220425730477,39200.95,1.0
aug0.5,msd,15,0.1,ndcg,1.05256925,2.24306025,1.1418439,1.5409998999999999,1.27474725,0.14454614999999998,0.24938636485306223,39200.95,1.0
aug0.5,msd,15,0.5,err,0.9056182500000001,2.1406342,1.1641062999999998,1.3931847,1.2541335500000002,0.20814690000000002,0.3044236374618855,39200.95,1.0
aug0.5,msd,15,0.5,ndcg,0.8718657999999999,1.9909462000000002,1.1061387,1.3795294999999999,1.25423505,0.21502525,0.30650381198380844,39200.95,1.0
aug0.5,msd,15,0.9,err,0.82445255,2.1208648,1.1948047000000002,1.41252725,1.2506486,0.19673315,0.32068271078865,39200.95,1.0
aug0.5,msd,15,0.9,ndcg,0.80365675,2.0312513500000002,1.1603959,1.3011105500000002,1.22556685,0.2399006,0.3879881067270762,39200.95,1.0
aug0.5,msd,20,0.1,err,0.9908552500000001,2.1973103000000003,1.1498260500000002,1.52312805,1.26003395,0.14612545,0.25693276424616157,39200.95,1.0
aug0.5,msd,20,0.1,ndcg,1.10481435,2.1954932499999997,1.0919378,1.63044375,1.29635885,0.11063005,0.1857632205232843,39200.95,1.0
aug0.5,msd,20,0.5,err,0.8824835999999999,2.108981,1.1598472,1.4759163499999999,1.26474505,0.17208684999999999,0.2745187978412807,39200.95,1.0
aug0.5,msd,20,0.5,ndcg,0.9225712500000001,1.9796948,1.0751601,1.3932764,1.25873525,0.21040195,0.3061173757147452,39200.95,1.0
aug0.5,msd,20,0.9,err,0.8572146500000001,2.14985715,1.1929196,1.4506902,1.27148475,0.1880698,0.2723084398449188,39200.95,1.0
aug0.5,msd,20,0.9,ndcg,0.96041515,1.9673615000000002,1.05007165,1.3608335500000002,1.2452454,0.21987840000000003,0.31922000336271295,39200.95,1.0
aug0.7,-,-,-,err,0.8934746,2.20794485,1.2038337000000001,1.672655,1.2890492,0.08586940000000001,0.16983656099687683,39200.95,0.0
aug0.7,-,-,-,ndcg,0.82914805,2.0465637,1.1553064000000002,1.6108915,1.28208665,0.1132701,0.2153439497975905,39200.95,0.0
aug0.7,mpt,10,0.1,err,0.9506895500000001,2.2776623999999996,1.2100848499999999,1.58159985,1.28941205,0.13157855000000002,0.19049612365909557,39200.95,1.0
aug0.7,mpt,10,0.1,ndcg,0.9613706499999999,2.15969795,1.14576205,1.5525845,1.2850636999999998,0.1439121,0.2108144250102165,39200.95,1.0
aug0.7,mpt,10,0.5,err,0.7104773,2.0875502999999997,1.2351348999999998,1.48523995,1.2748905000000001,0.17249779999999998,0.2631928918300275,39200.95,1.0
aug0.7,mpt,10,0.5,ndcg,0.80049315,1.8847407,1.08872225,1.27890955,1.2224894499999999,0.2494624,0.3794002809875618,39200.95,1.0
aug0.7,mpt,10,0.9,err,0.89278095,2.2167459000000003,1.20858095,1.4703197,1.2720012,0.17851325,0.2732816614358988,39200.95,1.0
aug0.7,mpt,10,0.9,ndcg,0.8544603499999999,2.0596511499999997,1.14919385,1.38822245,1.2569389000000002,0.2120307,0.32223777302415113,39200.95,1.0
aug0.7,mpt,15,0.1,err,0.79848505,1.9811937499999999,1.13795295,1.4095945,1.24942595,0.19758815000000002,0.2844041274553408,39200.95,1.0
aug0.7,mpt,15,0.1,ndcg,0.8708201499999999,1.8897783499999998,1.0560775,1.4364637,1.27034505,0.19461314999999998,0.28019391607063693,39200.95,1.0
aug0.7,mpt,15,0.5,err,0.77449795,2.15235705,1.235528,1.4965925,1.27404765,0.1664002,0.2552218711258504,39200.95,1.0
aug0.7,mpt,15,0.5,ndcg,0.8949073499999999,1.89432775,1.0463084999999999,1.42245735,1.2612031,0.19704539999999998,0.2965263705933206,39200.95,1.0
aug0.7,mpt,15,0.9,err,1.1455161500000002,2.294408,1.1210444499999999,1.5803772999999999,1.28872005,0.13184385,0.21549705323144264,39200.95,1.0
aug0.7,mpt,15,0.9,ndcg,0.95090095,1.9487545000000002,1.04552535,1.5056325,1.27940065,0.1645566,0.264067635009776,39200.95,1.0
aug0.7,mpt,20,0.1,err,0.95206585,2.14466265,1.1428969,1.4846347999999998,1.2724876,0.1715989,0.2559166734752401,39200.95,1.0
aug0.7,mpt,20,0.1,ndcg,0.7955919,1.91666275,1.1071339500000001,1.3413883,1.2329918,0.22347415,0.34730317643812925,39200.95,1.0
aug0.7,mpt,20,0.5,err,0.92280435,2.1573908,1.16389175,1.5120485000000001,1.26974445,0.1565203,0.24264885076873965,39200.95,1.0
aug0.7,mpt,20,0.5,ndcg,0.8611801,1.9780166000000001,1.10501665,1.44234235,1.2660233,0.18951294999999999,0.29640294693534014,39200.95,1.0
aug0.7,mpt,20,0.9,err,0.92280435,2.1573908,1.16389175,1.5120485000000001,1.26974445,0.1565203,0.24264885076873965,39200.95,1.0
aug0.7,mpt,20,0.9,ndcg,0.8611801,1.9780166000000001,1.10501665,1.44234235,1.2660233,0.18951294999999999,0.29640294693534014,39200.95,1.0
aug0.7,msd,10,0.1,err,0.9541382,2.0379339,1.0884963,1.4908868,1.25778645,0.16112235000000003,0.2583160164274704,39200.95,1.0
aug0.7,msd,10,0.1,ndcg,0.92464695,2.25154255,1.2100464499999999,1.52905635,1.2781665500000001,0.15222755000000002,0.2216568606961112,39200.95,1.0
aug0.7,msd,10,0.5,err,0.96722675,2.2864978000000002,1.20623395,1.5985429,1.29172445,0.1242633,0.201021581309911,39200.95,1.0
aug0.7,msd,10,0.5,ndcg,0.92198315,2.14011245,1.15566305,1.4730378,1.26122435,0.17176560000000002,0.26632146388371986,39200.95,1.0
aug0.7,msd,10,0.9,err,0.8147116000000001,2.14817555,1.2133304500000002,1.42176085,1.2537671,0.19367565,0.29953022588022893,39200.95,1.0
aug0.7,msd,10,0.9,ndcg,0.87359025,1.9565425,1.0880747,1.3749426,1.2349968,0.20769954999999998,0.3417033343073268,39200.95,1.0
aug0.7,msd,15,0.1,err,1.1734434,2.53085555,1.2253044,1.6248764999999998,1.2945642,0.11251629999999999,0.1849364972426122,39200.95,1.0
